title,vendor,category,published,option,option_value,variant_grams,variant_tracker,variant_policy,variant_service,variant_price,variant_require_shipping,variant_taxable,image,image_position,gift,variant_weight_unit
PRT20-0003 - Alinea Brûle Graisse,LA NOUVELLE PHARMACIE HOUEYIHO,Complément Alimentaire,True,Title,Default Title,0.0,shopify,deny,grandmarche,23900.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/ALINEA-MINCEUR-BRULE-GRAISSES-330x355.jpg?v=1589397232,1.0,False,kg
PRT20-0003 - Fluojunior Gel  Dentifrice 50ML,LA NOUVELLE PHARMACIE HOUEYIHO,hygiène et beauté,True,Title,Default Title,0.0,shopify,deny,grandmarche,1020.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/dentifrice_fluojunior-sicobel_fe4c09a0-24bb-4fe8-a153-2c5baf6d94a0.png?v=1589398175,1.0,False,kg
PRT20-0003 - Fluocaril-Bain de bouche 250ML,LA NOUVELLE PHARMACIE HOUEYIHO,hygiène et beauté,True,Title,Default Title,0.0,shopify,deny,grandmarche,4600.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/fluocaril-bain-de-1886-330x413_29676c2b-e610-4319-949d-e6e86593f95f.jpg?v=1589398174,1.0,False,kg
PRT20-0007 - Vision Forever - Complément alimentaire,Alafia Star,hygiène et beauté,True,Title,Default Title,0.0,shopify,deny,grandmarche,17000.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/forever-vision-330x413.jpg?v=1589397527,1.0,False,kg
PRT20-0003 - Topicrem-Ultra Hydratant Scintillant 200ML,LA NOUVELLE PHARMACIE HOUEYIHO,hygiène et beauté,True,Title,Default Title,0.0,shopify,deny,grandmarche,5100.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/uh_scintillant_corps_200ml-330x413.jpg?v=1589397515,1.0,False,kg
PRT20-0003 - Topicrem-Ultra Hydratant Lait Corps 200 ml,LA NOUVELLE PHARMACIE HOUEYIHO,hygiène et beauté,True,Title,Default Title,0.0,shopify,deny,grandmarche,5290.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/Topicrem-Ultra-Hydratant-Lait-Corps-200-ml-330x413.jpg?v=1589397515,1.0,False,kg
PRT20-0003 - Topicrem-Mon 1er Lait 200ML,LA NOUVELLE PHARMACIE HOUEYIHO,hygiène et beauté,True,Title,Default Title,0.0,shopify,deny,grandmarche,6000.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/bb_mon_1er_lait_ultra-hydratant_200ml-330x413.jpg?v=1589397514,1.0,False,kg
PRT20-0003 - PR Françoise B.- Lait Carotte 500ML 500ML,LA NOUVELLE PHARMACIE HOUEYIHO,hygiène et beauté,True,Title,Default Title,0.0,shopify,deny,grandmarche,10050.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/lait-eclaircissant-carotte-330x413.jpg?v=1589399282,1.0,False,kg
PRT20-0003 - Iso Urea-Lait Corporel Lissant 200ML,LA NOUVELLE PHARMACIE HOUEYIHO,hygiène et beauté,True,Title,Default Title,0.0,shopify,deny,grandmarche,10900.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/la-roche-posay-475-330x413.jpg?v=1589398237,1.0,False,kg
PRT20-0003 - Evoluderm Lait Corps Huile Précieuse 1L+ (Masque Creme 100ML) Offert,LA NOUVELLE PHARMACIE HOUEYIHO,hygiène et beauté,True,Title,Default Title,0.0,shopify,deny,grandmarche,22000.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/EVOLUDERMHUILE-PRECIEUSE-330x413.jpg?v=1589398158,1.0,False,kg
