date,accessoires mode femme,alimentaire,barrettes,beauté et hygiène,bracelets et boucles d'oreille,chaussure pour homme,chaussures femme,chaussures homme,chaussures pour enfants garçon,chaussures pour femme,chaussures pour homme,chemise homme,complet nourrissons,complément alimentaire,ensemble pour homme,hygiène et soins du corps,montres homme,pendentif et boucle d'oreille,petits électroménagers,robe femme,robe pour femme,roman,sac usage mixte,sacs à mains,soins du corps,soins esthétiques,tenue pour homme,thé,électroménagers,e-commerce,country,eventail pour femme,grand électroménager,high tech,hygiène et beauté,hygiène et ménage
2021-03-07,0,32,0,0,0,0.0,0.0,19.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0,15,0,0,0,0,0,15,0,0,senegal,0.0,0.0,0.0,0.0,0.0
2021-03-14,0,43,0,0,0,0.0,0.0,35.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0,40,0,0,0,0,0,41,0,0,senegal,0.0,0.0,28.0,0.0,0.0
2021-03-21,0,15,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0,40,0,0,0,0,0,15,0,0,senegal,0.0,0.0,0.0,0.0,0.0
2021-03-28,0,65,0,0,0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0,55,0,0,0,0,0,46,0,15,senegal,0.0,0.0,0.0,0.0,0.0
2021-04-04,0,15,0,0,0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3,54,0,0,0,0,0,43,0,0,senegal,0.0,0.0,30.0,0.0,0.0
2021-04-11,0,48,0,0,0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,72,0,0,0,0,0,15,0,15,senegal,0.0,0.0,0.0,0.0,0.0
2021-04-18,0,31,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3,76,0,0,0,0,0,45,0,0,senegal,0.0,0.0,0.0,0.0,0.0
2021-04-25,0,23,0,0,0,0.0,19.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3,57,0,0,0,0,0,15,0,29,senegal,0.0,0.0,0.0,0.0,0.0
2021-05-02,0,24,0,0,0,0.0,58.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0,65,0,0,0,0,0,60,0,0,senegal,0.0,0.0,0.0,0.0,0.0
2021-05-09,0,0,0,0,0,0.0,21.0,42.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38,0,0,0,0,0,49,0,16,senegal,0.0,0.0,0.0,0.0,0.0
